orf1ab	YP_009724389.1
nsp1	YP_009725297.1
nsp2	YP_009725298.1
nsp3	YP_009725299.1
nsp4	YP_009725300.1
nsp5	YP_009725301.1
nsp6	YP_009725302.1
nsp7	YP_009725303.1
nsp8	YP_009725304.1
nsp9	YP_009725305.1
nsp10	YP_009725306.1
nsp11	YP_009725312.1
nsp12	YP_009725307.1
nsp13	YP_009725308.1
nsp14	YP_009725309.1
nsp15	YP_009725310.1
nsp16	YP_009725311.1
spike	YP_009724390.1
s	YP_009724390.1
ns3	YP_009724391.1
orf3a	YP_009724391.1
e	YP_009724392.1
ns4	YP_009724392.1
orf4	YP_009724392.1
m	YP_009724393.1
ns5	YP_009724393.1
orf5	YP_009724393.1
ns6	YP_009724394.1
orf6	YP_009724394.1
ns7a	YP_009724395.1
orf7a	YP_009724395.1
ns7b	YP_009725318.1
orf7b	YP_009725318.1
ns8	YP_009724396.1
orf8	YP_009724396.1
n	YP_009724397.2
ns9	YP_009724397.2
orf9	YP_009724397.2
ns10	YP_009725255.1
orf10	YP_009725255.1
